CID_A,drug_A,CID_B,drug_B,enzyme_gene,uniprot,direction,severity
3016,Diazepam,14888,Arsenic Trioxide,CYP3A4,P08684,inhibition,Unknown
3032,Arthrotec,5291,Imatinib,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
3032,Arthrotec,5291,Imatinib,CYP3A4,P08684,inhibition,Moderate
2907,Cyclophosphamide,3203,Rac-Efavirenz,CYP3A4,P08684,induction,Unknown
2907,Cyclophosphamide,3203,Rac-Efavirenz,CYP3A4,P08684,inhibition,Unknown
3333,Felodipine,5394,Temozolomide,CYP3A4,P08684,inhibition,Unknown
3333,Felodipine,5394,Temozolomide,CYP3A4,P08684,induction,Unknown
2083,Salbutamol,14888,Arsenic Trioxide,CYP3A4,P08684,inhibition,Moderate
2187,Anastrozole,5735,Zopiclone,CYP3A4,P08684,inhibition,Unknown
5978,Vincristine,150311,Ezetimibe,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
5978,Vincristine,150311,Ezetimibe,CYP3A4,P08684,inhibition,Unknown
5978,Vincristine,150311,Ezetimibe,ABCB1 (P-gp),P08183,transporter_induction,Unknown
2520,Verapamil,104741,Fulvestrant,CYP3A4,P08684,inhibition,Unknown
3767,Isoniazid,5426,Thalidomide,CYP2E1,P05181,induction,Moderate
3767,Isoniazid,5426,Thalidomide,CYP2C19,P33261,inhibition,Moderate
2092,Alfuzosin,2375,Bicalutamide,CYP3A4,P08684,inhibition,Moderate
5376,"(E,Z)-Tamoxifen",119607,Valdecoxib,CYP3A4,P08684,induction,Unknown
5376,"(E,Z)-Tamoxifen",119607,Valdecoxib,CYP2C9,P11712,inhibition,Unknown
5376,"(E,Z)-Tamoxifen",150311,Ezetimibe,ABCB1 (P-gp),P08183,transporter_induction,Unknown
5376,"(E,Z)-Tamoxifen",150311,Ezetimibe,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
