enzyme,HPO,AE_name,observed,expected,log2FE,p,q
CYP2C19,HP:0006775,Multiple myeloma,115,87.8,0.39,0.0026592858690083895,0.02911654357993605
CYP2C19,HP:0002019,Constipation,391,339.9,0.2,0.0029909649288676703,0.03164704326319497
CYP2C19,HP:0000858,Irregular menstruation,36,22.0,0.71,0.003256422947769173,0.03401641808953474
CYP2C19,HP:0002862,Bladder carcinoma,53,35.7,0.57,0.0034480698963405133,0.03544359082275554
CYP2C19,HP:0000360,Tinnitus,163,131.3,0.31,0.0036132431570803964,0.036558075398208725
CYP2C19,HP:0030430,Neuroma,22,11.7,0.92,0.003717656327399828,0.03741859819114671
CYP2C19,HP:0002840,Lymphadenitis,53,35.9,0.56,0.0037901209201092307,0.03795030403166367
CYP2C19,HP:0030692,Brain neoplasm,52,35.1,0.57,0.00391904924815584,0.038938625563296456
CYP2C19,HP:0002758,Osteoarthritis,251,212.4,0.24,0.004604830380414024,0.043839130387999574
CYP2C19,HP:0001681,Angina pectoris,247,208.8,0.24,0.00466127760439542,0.044025693448201085
CYP2C19,HP:0000739,Anxiety,405,355.8,0.19,0.004859166752890735,0.04466083792535445
CYP2C9,HP:0000820,Abnormality of the thyroid gland,245,165.7,0.56,1.1922488446957882e-09,1.5889799257755936e-07
CYP2C9,HP:0001997,Gout,330,240.0,0.46,5.933044764916833e-09,6.369782782334322e-07
CYP2C9,HP:0000819,Diabetes mellitus,640,529.3,0.27,6.773170524901733e-07,3.5531964351424876e-05
CYP2C9,HP:0400008,Menometrorrhagia,47,22.0,1.1,8.177366457884368e-07,4.2140695146297444e-05
CYP2C9,HP:0001367,Abnormal joint morphology,397,318.7,0.32,6.003500159201083e-06,0.0002301880824592442
CYP2C9,HP:0001386,Joint swelling,430,352.1,0.29,1.6320304959639233e-05,0.0005345591412627596
CYP2C9,HP:0001998,Neonatal hypoglycemia,80,50.2,0.67,3.302425456331845e-05,0.0009669601809638319
CYP2C9,HP:0001658,Myocardial infarction,720,627.8,0.2,9.644195941283375e-05,0.0021926363125329552
CYP2C9,HP:0002487,Hyperkinetic movements,671,584.4,0.2,0.00014456462887936766,0.002972033460738064
CYP2C9,HP:0000458,Anosmia,137,100.3,0.45,0.0001715962557496412,0.003383773104450833
CYP2C9,HP:0001369,Arthritis,457,387.7,0.24,0.00019893006428597316,0.0038251975048024193
CYP2C9,HP:0000131,Uterine leiomyoma,194,150.7,0.36,0.00024710604564293255,0.004547927935285401
CYP2C9,HP:0004950,Peripheral arterial stenosis,269,217.5,0.31,0.00025583912122595327,0.004645393548257484
CYP2C9,HP:0001373,Joint dislocation,158,119.9,0.4,0.00031696737457708336,0.00551837343576769
CYP2C9,HP:0030148,Heart murmur,347,289.1,0.26,0.0003194963857437052,0.005537459779818029
CYP2C9,HP:0011868,Sciatica,243,195.6,0.31,0.0003782948011207302,0.0063294779494875416
CYP2C9,HP:0002098,Respiratory distress,1036,936.5,0.15,0.00045342596343437295,0.007241699787908476
CYP2C9,HP:0012076,Borderline personality disorder,51,31.4,0.7,0.0004983859340436562,0.00786053738358109
CYP2C9,HP:0004872,Incisional hernia,80,55.0,0.54,0.000597713034049631,0.009024065924225874
CYP2C9,HP:0000836,Hyperthyroidism,200,159.6,0.33,0.0007513626507428872,0.010755617204152811
CYP2C9,HP:0007902,Vitreous hemorrhage,77,53.0,0.54,0.000772795333727973,0.010940857014134124
